,Time,Source,Destination,Protocol,Length,Info
4352,256.918.311,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
4354,257.007.716,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
4399,260.149.489,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
4441,263.192.533,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
4443,263.285.545,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
4478,266.329.380,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
4480,266.421.682,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
4533,269.465.907,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
4535,269.557.553,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
4585,272.603.595,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
4587,272.691.683,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
4626,275.700.783,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
4673,279.110.135,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
4675,279.201.729,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
4722,282.171.505,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
4784,285.658.806,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
4787,285.751.771,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
4829,288.799.736,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
4832,288.888.742,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
4887,291.946.231,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
4889,292.034.885,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
4928,295.091.514,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
4930,295.182.216,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
4968,299.213.106,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
4969,299.394.676,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
5015,302.419.196,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
5020,302.507.897,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
5057,305.549.938,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
5059,305.651.952,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
5095,308.689.740,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
5097,308.800.120,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
5143,311.720.335,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
5145,311.812.464,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
5258,314.835.139,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
